place_id,nx,ny,coverage_scope
kma_56_130,56,130,seoul_bbox
kma_57_130,57,130,seoul_bbox
kma_58_130,58,130,seoul_bbox
kma_59_130,59,130,seoul_bbox
kma_60_130,60,130,seoul_bbox
kma_61_130,61,130,seoul_bbox
kma_62_130,62,130,seoul_bbox
kma_63_130,63,130,seoul_bbox
kma_64_130,64,130,seoul_bbox
kma_65_130,65,130,seoul_bbox
kma_56_129,56,129,seoul_bbox
kma_57_129,57,129,seoul_bbox
kma_58_129,58,129,seoul_bbox
kma_59_129,59,129,seoul_bbox
kma_60_129,60,129,seoul_bbox
kma_61_129,61,129,seoul_bbox
kma_62_129,62,129,seoul_bbox
kma_63_129,63,129,seoul_bbox
kma_64_129,64,129,seoul_bbox
kma_65_129,65,129,seoul_bbox
kma_56_128,56,128,seoul_bbox
kma_57_128,57,128,seoul_bbox
kma_58_128,58,128,seoul_bbox
kma_59_128,59,128,seoul_bbox
kma_60_128,60,128,seoul_bbox
kma_61_128,61,128,seoul_bbox
kma_62_128,62,128,seoul_bbox
kma_63_128,63,128,seoul_bbox
kma_64_128,64,128,seoul_bbox
kma_65_128,65,128,seoul_bbox
kma_56_127,56,127,seoul_bbox
kma_57_127,57,127,seoul_bbox
kma_58_127,58,127,seoul_bbox
kma_59_127,59,127,seoul_bbox
kma_60_127,60,127,seoul_bbox
kma_61_127,61,127,seoul_bbox
kma_62_127,62,127,seoul_bbox
kma_63_127,63,127,seoul_bbox
kma_64_127,64,127,seoul_bbox
kma_65_127,65,127,seoul_bbox
kma_56_126,56,126,seoul_bbox
kma_57_126,57,126,seoul_bbox
kma_58_126,58,126,seoul_bbox
kma_59_126,59,126,seoul_bbox
kma_60_126,60,126,seoul_bbox
kma_61_126,61,126,seoul_bbox
kma_62_126,62,126,seoul_bbox
kma_63_126,63,126,seoul_bbox
kma_64_126,64,126,seoul_bbox
kma_65_126,65,126,seoul_bbox
kma_56_125,56,125,seoul_bbox
kma_57_125,57,125,seoul_bbox
kma_58_125,58,125,seoul_bbox
kma_59_125,59,125,seoul_bbox
kma_60_125,60,125,seoul_bbox
kma_61_125,61,125,seoul_bbox
kma_62_125,62,125,seoul_bbox
kma_63_125,63,125,seoul_bbox
kma_64_125,64,125,seoul_bbox
kma_65_125,65,125,seoul_bbox
kma_56_124,56,124,seoul_bbox
kma_57_124,57,124,seoul_bbox
kma_58_124,58,124,seoul_bbox
kma_59_124,59,124,seoul_bbox
kma_60_124,60,124,seoul_bbox
kma_61_124,61,124,seoul_bbox
kma_62_124,62,124,seoul_bbox
kma_63_124,63,124,seoul_bbox
kma_64_124,64,124,seoul_bbox
kma_65_124,65,124,seoul_bbox
kma_56_123,56,123,seoul_bbox
kma_57_123,57,123,seoul_bbox
kma_58_123,58,123,seoul_bbox
kma_59_123,59,123,seoul_bbox
kma_60_123,60,123,seoul_bbox
kma_61_123,61,123,seoul_bbox
kma_62_123,62,123,seoul_bbox
kma_63_123,63,123,seoul_bbox
kma_64_123,64,123,seoul_bbox
kma_65_123,65,123,seoul_bbox
