sigungu,sigungu_code,dong,dong_code,boundary_wkt,admin_dong_code,gu_code
강동구,11250,길동,1125074,"POLYGON ((127.1506841825971 37.54297943719738, 127.15666236342832 37.539490196374366, 127.16251899968245 37.538797310633534, 127.14516817132433 37.53146260022831, 127.14068690059868 37.53118632106941, 127.13640539515914 37.53247023366308, 127.13892320331327 37.53762754601835, 127.14380192958487 37.53947695668667, 127.14484779315524 37.542271071578554, 127.1506841825971 37.54297943719738))",1174068500,11740
강동구,11250,천호2동,1125073,"POLYGON ((127.1296594431204 37.547320969604925, 127.1366922994031 37.54432073003471, 127.13325961176139 37.53959212853102, 127.12853684547063 37.53485917087813, 127.12532464331997 37.53572787912298, 127.1116764203608 37.540669955324965, 127.11455679868533 37.54670798531544, 127.1296594431204 37.547320969604925))",1174061000,11740
강동구,11250,암사1동,1125072,"POLYGON ((127.14658708035984 37.55197150430446, 127.14331358996458 37.54807088878857, 127.1366922994031 37.54432073003471, 127.1296594431204 37.547320969604925, 127.13130719416033 37.551959543662896, 127.14658708035984 37.55197150430446))",1174057000,11740
강동구,11250,둔촌2동,1125071,"POLYGON ((127.16251899968245 37.538797310633534, 127.15566835118616 37.53119520531309, 127.15538075046105 37.52652930087977, 127.14791518058246 37.51918714979303, 127.1468440337671 37.52373309428148, 127.1387472669133 37.526024153064206, 127.14068690059868 37.53118632106941, 127.14516817132433 37.53146260022831, 127.16251899968245 37.538797310633534))",1174070000,11740
강동구,11250,둔촌1동,1125070,"POLYGON ((127.1387472669133 37.526024153064206, 127.1468440337671 37.52373309428148, 127.14791518058246 37.51918714979303, 127.14672806823502 37.51415680680291, 127.1360224375423 37.51873736912533, 127.1387472669133 37.526024153064206))",1174069000,11740
강동구,11250,성내3동,1125067,"POLYGON ((127.13640539515914 37.53247023366308, 127.14068690059868 37.53118632106941, 127.1387472669133 37.526024153064206, 127.1360224375423 37.51873736912533, 127.13085529491111 37.52098850616528, 127.13393659853675 37.52733984141569, 127.13640539515914 37.53247023366308))",1174066000,11740
강동구,11250,성내2동,1125066,"POLYGON ((127.12532464331997 37.53572787912298, 127.12853684547063 37.53485917087813, 127.13640539515914 37.53247023366308, 127.13393659853675 37.52733984141569, 127.12337386349152 37.53030612633618, 127.12532464331997 37.53572787912298))",1174065000,11740
강동구,11250,성내1동,1125065,"POLYGON ((127.12337386349152 37.53030612633618, 127.13393659853675 37.52733984141569, 127.13085529491111 37.52098850616528, 127.12127423206992 37.5252637914794, 127.12337386349152 37.53030612633618))",1174064000,11740
강동구,11250,천호3동,1125063,"POLYGON ((127.14380192958487 37.53947695668667, 127.13892320331327 37.53762754601835, 127.13640539515914 37.53247023366308, 127.12853684547063 37.53485917087813, 127.13325961176139 37.53959212853102, 127.14380192958487 37.53947695668667))",1174062000,11740
강동구,11250,천호1동,1125061,"POLYGON ((127.1366922994031 37.54432073003471, 127.14331358996458 37.54807088878857, 127.14484779315524 37.542271071578554, 127.14380192958487 37.53947695668667, 127.13325961176139 37.53959212853102, 127.1366922994031 37.54432073003471))",1174060000,11740
강동구,11250,암사3동,1125059,"POLYGON ((127.13593925898998 37.56564793048277, 127.14344659555326 37.567479711307435, 127.14896078681674 37.55898754555561, 127.14658708035984 37.55197150430446, 127.13130719416033 37.551959543662896, 127.13593925898998 37.56564793048277))",1174059000,11740
강동구,11250,암사2동,1125058,"POLYGON ((127.11519584981606 37.557533180704915, 127.11879551821994 37.557222485451305, 127.12435254630417 37.56144246249796, 127.13593925898998 37.56564793048277, 127.13130719416033 37.551959543662896, 127.1296594431204 37.547320969604925, 127.11455679868533 37.54670798531544, 127.11600200349189 37.55053147511706, 127.11519584981606 37.557533180704915))",1174058000,11740
강동구,11250,고덕2동,1125056,"POLYGON ((127.15511020940411 37.57093642128295, 127.16368738589286 37.57500783523479, 127.16953771051587 37.5682004295911, 127.16714552844869 37.5662689699899, 127.17261067213987 37.55960104435172, 127.17360474181851 37.55452533235053, 127.1586954058685 37.552576494711964, 127.15805164315246 37.56518137672108, 127.15511020940411 37.57093642128295))",1174056000,11740
강동구,11250,고덕1동,1125055,"POLYGON ((127.14344659555326 37.567479711307435, 127.15511020940411 37.57093642128295, 127.15805164315246 37.56518137672108, 127.1586954058685 37.552576494711964, 127.15232735266896 37.55189398108047, 127.14658708035984 37.55197150430446, 127.14896078681674 37.55898754555561, 127.14344659555326 37.567479711307435))",1174055000,11740
강동구,11250,명일2동,1125054,"POLYGON ((127.15232735266896 37.55189398108047, 127.1586954058685 37.552576494711964, 127.15805587357812 37.54342362601974, 127.16530984307447 37.54221851258693, 127.16251899968245 37.538797310633534, 127.15666236342832 37.539490196374366, 127.1506841825971 37.54297943719738, 127.15232735266896 37.55189398108047))",1174054000,11740
강동구,11250,명일1동,1125053,"POLYGON ((127.14658708035984 37.55197150430446, 127.15232735266896 37.55189398108047, 127.1506841825971 37.54297943719738, 127.14484779315524 37.542271071578554, 127.14331358996458 37.54807088878857, 127.14658708035984 37.55197150430446))",1174053000,11740
강동구,11250,상일동,1125052,"POLYGON ((127.1586954058685 37.552576494711964, 127.17360474181851 37.55452533235053, 127.17624513780328 37.5426107112352, 127.16530984307447 37.54221851258693, 127.15805587357812 37.54342362601974, 127.1586954058685 37.552576494711964))",,11740
강동구,11250,강일동,1125051,"POLYGON ((127.16368738589286 37.57500783523479, 127.16683184366129 37.57672487388627, 127.17607118428914 37.57678573961056, 127.18122821955262 37.56636089217979, 127.18408792330152 37.55814280369575, 127.18350810324185 37.550053002101485, 127.18543378919821 37.54260756512178, 127.17624513780328 37.5426107112352, 127.17360474181851 37.55452533235053, 127.17261067213987 37.55960104435172, 127.16714552844869 37.5662689699899, 127.16953771051587 37.5682004295911, 127.16368738589286 37.57500783523479))",1174051500,11740
송파구,11240,잠실3동,1124080,"POLYGON ((127.09254802952158 37.5232002325931, 127.1061376015552 37.505945179369164, 127.09942438049303 37.50373442814207, 127.09283256914149 37.50472802678396, 127.0876084980615 37.508822888537686, 127.09466042209445 37.50910991504306, 127.09062956245532 37.52268889181966, 127.09254802952158 37.5232002325931))",1171068000,11710
송파구,11240,잠실2동,1124079,"POLYGON ((127.07468544977327 37.520974900073, 127.07968915919895 37.52077294752823, 127.09062956245532 37.52268889181966, 127.09466042209445 37.50910991504306, 127.0876084980615 37.508822888537686, 127.0804346935926 37.50906688906049, 127.07091156739416 37.50719902959034, 127.07057106587357 37.50748081931759, 127.0690698130372 37.522279423505026, 127.07468544977327 37.520974900073))",1171067000,11710
송파구,11240,잠실7동,1124078,"POLYGON ((127.07091156739416 37.50719902959034, 127.0804346935926 37.50906688906049, 127.08158308962736 37.50392703604026, 127.07528960655267 37.49932614743975, 127.0719146000724 37.50224013587669, 127.07091156739416 37.50719902959034))",1171072000,11710
송파구,11240,잠실6동,1124077,"POLYGON ((127.10022841918634 37.52475699541064, 127.1051261896709 37.51920462294671, 127.10876057377162 37.51270927934955, 127.11020223658842 37.50917144065826, 127.1061376015552 37.505945179369164, 127.09254802952158 37.5232002325931, 127.0943611414465 37.523984206117525, 127.10022841918634 37.52475699541064))",1171071000,11710
송파구,11240,잠실4동,1124075,"POLYGON ((127.101068120931 37.525151938900564, 127.10692849040475 37.52108916220014, 127.1185171541772 37.52116117426451, 127.11466412513991 37.51471216716515, 127.10876057377162 37.51270927934955, 127.1051261896709 37.51920462294671, 127.10022841918634 37.52475699541064, 127.101068120931 37.525151938900564))",1171069000,11710
송파구,11240,잠실본동,1124071,"POLYGON ((127.0876084980615 37.508822888537686, 127.09283256914149 37.50472802678396, 127.08573831212134 37.49645940739078, 127.07759949729024 37.49839572885325, 127.07528960655267 37.49932614743975, 127.08158308962736 37.50392703604026, 127.0804346935926 37.50906688906049, 127.0876084980615 37.508822888537686))",1171065000,11710
송파구,11240,장지동,1124070,"POLYGON ((127.14007677473411 37.49149638593564, 127.14014217453096 37.48803044089965, 127.14479754461443 37.486243853071905, 127.14226829397522 37.48153296194719, 127.14464451147558 37.47903294823633, 127.15147990997852 37.47745324805034, 127.14857580353349 37.47381386382568, 127.14415938171436 37.473692508393505, 127.14112111404233 37.470600239054825, 127.13281577200672 37.47257463763244, 127.13478085797742 37.46509524639883, 127.12870227125612 37.46604184177013, 127.12913270892061 37.473579420826745, 127.1262793882353 37.47955845431148, 127.12876885818024 37.48352266062374, 127.13566505691283 37.48772495794805, 127.14007677473411 37.49149638593564))",1171064600,11710
송파구,11240,문정2동,1124069,"POLYGON ((127.12087971813645 37.48982135354343, 127.1231960830453 37.48619151131145, 127.1262793882353 37.47955845431148, 127.12913270892061 37.473579420826745, 127.12870227125612 37.46604184177013, 127.12440571080893 37.46240445587048, 127.12265007208167 37.46756987490939, 127.11314705595287 37.480127870880345, 127.11025761076787 37.48649739956609, 127.12087971813645 37.48982135354343))",1171064200,11710
송파구,11240,문정1동,1124068,"POLYGON ((127.13566505691283 37.48772495794805, 127.12876885818024 37.48352266062374, 127.1262793882353 37.47955845431148, 127.1231960830453 37.48619151131145, 127.12836832360932 37.488704998434415, 127.13201853850408 37.4903526191601, 127.13566505691283 37.48772495794805))",1171064100,11710
